M           age     RvRJ     logL
100.    0.01004   1.284    -6.69
100.    0.01163   1.261    -6.75
100.    0.01284   1.245    -6.79
100.    0.01419   1.230    -6.83
100.    0.01654   1.207    -6.91
100.    0.01837   1.193    -6.96
100.    0.02045   1.178    -7.00
100.    0.02280   1.164    -7.05
100.    0.02545   1.150    -7.10
100.    0.02846   1.137    -7.15
100.    0.03190   1.123    -7.21
100.    0.03586   1.110    -7.26
100.    0.04043   1.097    -7.32
100.    0.04576   1.084    -7.39
100.    0.05202   1.072    -7.46
100.    0.05947   1.059    -7.53
100.    0.06372   1.053    -7.57
100.    0.07357   1.040    -7.65
100.    0.08561   1.028    -7.74
100.    0.09267   1.022    -7.78
100.    0.10057   1.015    -7.83
100.    0.11945   1.003    -7.93
100.    0.13080   0.997    -7.99
100.    0.14374   0.991    -8.04
100.    0.15857   0.986    -8.10
100.    0.19556   0.974    -8.23
100.    0.21883   0.969    -8.30
100.    0.24627   0.963    -8.37
100.    0.27796   0.958    -8.45
100.    0.30964   0.954    -8.52
100.    0.34133   0.950    -8.58
100.    0.37302   0.946    -8.64
100.    0.40471   0.944    -8.69
100.    0.46808   0.939    -8.78
100.    0.53146   0.935    -8.87
100.    0.56315   0.933    -8.90
100.    0.65821   0.929    -9.01
100.    0.72159   0.927    -9.07
100.    0.81665   0.924    -9.15
100.    0.91172   0.921    -9.22
100.    1.00678   0.919    -9.29
100.    1.13353   0.917    -9.37
100.    1.26029   0.915    -9.43
100.    1.41873   0.913    -9.51
100.    1.60886   0.910    -9.59
100.    1.79898   0.909    -9.67
100.    2.02080   0.907    -9.74
100.    2.24262   0.905    -9.81
100.    2.52781   0.904    -9.89
100.    2.84469   0.902    -9.96
100.    3.19326   0.901   -10.03
100.    3.57352   0.900   -10.09
100.    3.98546   0.899   -10.12
100.    4.49247   0.897   -10.15
100.    5.03117   0.896   -10.18
100.    5.63324   0.894   -10.21
100.    6.33038   0.893   -10.24
100.    7.09090   0.891   -10.28
100.    7.94647   0.889   -10.31
100.    8.92880   0.888   -10.35
100.   10.00620   0.886   -10.38
