M           age     RvRJ     logL
318.    0.01047   1.238    -5.92
318.    0.01137   1.232    -5.96
318.    0.01345   1.220    -6.04
318.    0.01466   1.214    -6.08
318.    0.01600   1.208    -6.11
318.    0.01900   1.196    -6.18
318.    0.02069   1.190    -6.21
318.    0.02253   1.185    -6.25
318.    0.02673   1.173    -6.32
318.    0.02913   1.167    -6.36
318.    0.03177   1.161    -6.40
318.    0.03789   1.150    -6.48
318.    0.04146   1.144    -6.52
318.    0.04540   1.138    -6.56
318.    0.05450   1.126    -6.65
318.    0.05981   1.121    -6.69
318.    0.06574   1.115    -6.74
318.    0.07239   1.109    -6.79
318.    0.07991   1.103    -6.85
318.    0.09824   1.092    -6.96
318.    0.10949   1.086    -7.02
318.    0.12253   1.081    -7.07
318.    0.13735   1.075    -7.12
318.    0.15388   1.069    -7.17
318.    0.17240   1.063    -7.22
318.    0.19326   1.058    -7.27
318.    0.21690   1.052    -7.32
318.    0.24382   1.046    -7.38
318.    0.27467   1.041    -7.44
318.    0.30636   1.035    -7.50
318.    0.33804   1.031    -7.55
318.    0.36973   1.027    -7.60
318.    0.40142   1.023    -7.64
318.    0.46480   1.017    -7.73
318.    0.52817   1.012    -7.80
318.    0.59155   1.007    -7.87
318.    0.65493   1.004    -7.93
318.    0.71830   1.000    -7.99
318.    0.81337   0.996    -8.07
318.    0.90843   0.993    -8.14
318.    1.00349   0.990    -8.21
318.    1.13025   0.986    -8.29
318.    1.28869   0.983    -8.37
318.    1.41544   0.981    -8.44
318.    1.60557   0.978    -8.52
318.    1.79570   0.975    -8.60
318.    2.01751   0.973    -8.67
318.    2.23933   0.971    -8.75
318.    2.52452   0.968    -8.83
318.    2.84140   0.966    -8.91
318.    3.18997   0.964    -8.98
318.    3.57023   0.962    -9.06
318.    3.98217   0.961    -9.13
318.    4.48918   0.959    -9.21
318.    5.02788   0.958    -9.29
318.    5.62996   0.956    -9.36
318.    6.32709   0.955    -9.44
318.    7.08761   0.953    -9.51
318.    7.97487   0.952    -9.59
318.    8.92552   0.951    -9.66
318.   10.00290   0.950    -9.73
