key,ra,dec,tyc,hip,gaia_dr1,gaia_dr2
HD147513,246.005377487607,-39.1929818364547,7853-621-1,80337,,6018047019138644480
HD150554,250.235165533346,21.9481451631306,1532-975-1,81662,4564397466426171648,4564397470723536512
HD151798,252.52151555607,-12.387460637253,5637-61-1,82388,4333742707425286912,4333742711723764224
HD152555,253.533931507466,-4.340183445046,5059-975-1,82688,4377537458152423424,4377537462448122112
HD154734,256.739606580656,6.8008288246247,410-1667-1,83747,4394679050585578624,4394679054883342080
HD157587,261.217666472029,-18.8592191767617,6242-451-1,85224,4122561570663585408,4122561575010929152
HD160305,265.454326608827,-50.7244561933446,8355-1885-1,86598,,5946515438335508864
HD161012,266.702048178475,-59.1041134889343,8754-666-1,87013,5918084709028254848,5918084713324881280
HD164249,270.764214627289,-51.6490102458401,,88399,,
HD170773,278.253819197412,-39.8920218582652,7906-1047-1,90936,,6723753061177741312
HD175726,284.154884324923,4.265128561571,457-453-1,92984,4281201410420247424,4281201414717499520
HD176383,285.369465791945,-34.3765469452738,7417-1424-1,93412,,6731752867256886144
HD181327,290.745597671817,-54.5380499086378,8765-638-1,95270,,6643589352010758400
HD181869,290.971566653908,-40.6159405670061,7935-2139-1,95347,,6713727061308648704
HD182681,291.735344985941,-29.7432256837513,6888-2982-1,95619,,6758468487246533248
HD183216,292.419046602246,-30.7977592702237,7424-2828-1,95849,,6746284390882038656
HD185181,294.714797097565,-25.8719382223698,6893-1497-1,96635,,6767000667417725952
HD188228,300.148147621141,-72.9105047166651,9315-1893-1,98495,,6368016725516227840
HD190081,301.152392159209,-35.2141961339562,7448-1215-1,98864,,6698557855293487616
HD191089,302.27173261989,-26.224033483268,6909-1892-1,99273,6847146780087983360,6847146784384459648
HD193924,306.411904365199,-56.7350897263169,8785-1898-1,100751,,
HD195627,308.89520546069,-60.5817528740388,9100-1712-1,101612,,6454999399628150016
HD195830,308.695756683036,-33.9219662329052,7464-1205-1,101551,,6791823654241058944
HD199260,314.1972098696,-26.2963803888357,6931-1018-1,103389,,6802426038708609536
HD202917,320.208156438911,-53.0342104544279,8806-401-1,105388,6463782431652157184,6463782435948431616
HD205674,324.33796458339,-18.4411803148055,6366-1251-1,106741,,6831554747427433728
HD205905,324.79229601043,-27.3065738961848,6948-961-1,106913,,6810896745007524736
HD206893,326.341273338682,-12.7833522405264,5796-1161-1,107412,,6843672087120107264
HD207129,327.065629447277,-47.3036166969644,8437-31-1,107649,,6564091190988411520
HD209100,330.840225956242,-56.7859825050536,8817-984-1,108870,,6412595290592307840
HD209253,330.637352831194,-32.133745925652,7489-1456-1,108809,,6612887104710588928
HD209952,332.058269696091,-46.9609743819195,8438-1959-1,109268,,
HD214867,340.439474257043,-39.4616440759606,8004-464-1,112052,,6545899152629823616
HD217343,345.08036372737,-26.1537519057393,6974-459-1,113579,2382711653818308224,2382711653818308224
HD221853,353.900635346851,8.3826179913888,1169-1374-1,116431,2758229578039477248,2758229582334976512
HD298936,153.311551666122,-52.515000222894,8599-697-1,,5356713413789909632,5356713413789909632
HIP159,0.5109053371773,-2.7661714038548,4666-98-1,159,2448569651542907392,2448569690198755840
HIP795,2.46520178203791,8.4531691973369,,795,,
HIP1427,4.4582584540259,16.3310134640823,1179-669-1,1427,,2793413885704410112
HIP1803,5.7157847162196,-12.2094367708036,5265-757-1,1803,2423493364726020224,2423493369021649920
HIP2072,6.550835146586,-43.6798318626811,7530-978-1,2072,,4992538055807707776
HIP2472,7.8540916687275,-48.8035210859926,8027-1305-1,2472,,4975414983273644032
