M           age     RvRJ     logL
3180.    0.01010   1.535    -3.70
3180.    0.01166   1.497    -3.78
3180.    0.01289   1.473    -3.83
3180.    0.01430   1.449    -3.89
3180.    0.01592   1.425    -3.94
3180.    0.01780   1.402    -4.00
3180.    0.01997   1.380    -4.06
3180.    0.02250   1.358    -4.12
3180.    0.02550   1.337    -4.19
3180.    0.02907   1.316    -4.26
3180.    0.03336   1.295    -4.34
3180.    0.03584   1.285    -4.38
3180.    0.04160   1.265    -4.46
3180.    0.04493   1.256    -4.50
3180.    0.05274   1.237    -4.58
3180.    0.05731   1.227    -4.63
3180.    0.06810   1.208    -4.72
3180.    0.07452   1.199    -4.77
3180.    0.08179   1.190    -4.83
3180.    0.09009   1.181    -4.88
3180.    0.11071   1.164    -5.01
3180.    0.12361   1.155    -5.07
3180.    0.13878   1.147    -5.14
3180.    0.15645   1.138    -5.20
3180.    0.17704   1.130    -5.27
3180.    0.20116   1.121    -5.33
3180.    0.22948   1.113    -5.40
3180.    0.26116   1.105    -5.46
3180.    0.29285   1.098    -5.52
3180.    0.32454   1.092    -5.58
3180.    0.35623   1.087    -5.63
3180.    0.38792   1.082    -5.68
3180.    0.41961   1.078    -5.73
3180.    0.45129   1.074    -5.77
3180.    0.51467   1.068    -5.86
3180.    0.57805   1.062    -5.92
3180.    0.64142   1.058    -5.97
3180.    0.73649   1.051    -6.04
3180.    0.79986   1.048    -6.09
3180.    0.89493   1.043    -6.15
3180.    1.02168   1.038    -6.22
3180.    1.14843   1.033    -6.28
3180.    1.27518   1.029    -6.33
3180.    1.43362   1.025    -6.39
3180.    1.59207   1.021    -6.44
3180.    1.78219   1.017    -6.50
3180.    2.00401   1.013    -6.57
3180.    2.25751   1.009    -6.63
3180.    2.54271   1.005    -6.68
3180.    2.82790   1.002    -6.72
3180.    3.17647   0.998    -6.78
3180.    3.55673   0.994    -6.83
3180.    4.00036   0.991    -6.89
3180.    4.47568   0.987    -6.95
3180.    5.01438   0.984    -7.01
3180.    5.64814   0.981    -7.08
3180.    6.31359   0.977    -7.14
3180.    7.10579   0.974    -7.20
3180.    7.96137   0.971    -7.25
3180.    8.94370   0.968    -7.31
3180.   10.02110   0.965    -7.37
