M           age     RvRJ     logL
100.    0.01016   1.000    -6.64
100.    0.01134   0.988    -6.67
100.    0.01262   0.977    -6.70
100.    0.01478   0.960    -6.75
100.    0.01639   0.949    -6.79
100.    0.01816   0.939    -6.82
100.    0.02009   0.929    -6.86
100.    0.02335   0.914    -6.92
100.    0.02581   0.904    -6.96
100.    0.02854   0.895    -7.00
100.    0.03326   0.880    -7.07
100.    0.03698   0.870    -7.13
100.    0.04128   0.860    -7.19
100.    0.04627   0.851    -7.25
100.    0.05203   0.842    -7.30
100.    0.05857   0.833    -7.35
100.    0.06598   0.824    -7.40
100.    0.07444   0.816    -7.46
100.    0.08420   0.807    -7.52
100.    0.08967   0.803    -7.55
100.    0.10202   0.794    -7.62
100.    0.11652   0.786    -7.68
100.    0.13350   0.778    -7.75
100.    0.14305   0.774    -7.78
100.    0.16477   0.766    -7.86
100.    0.19093   0.758    -7.94
100.    0.20614   0.754    -7.98
100.    0.24181   0.747    -8.07
100.    0.26277   0.743    -8.12
100.    0.28628   0.739    -8.17
100.    0.34305   0.732    -8.28
100.    0.37474   0.728    -8.33
100.    0.40642   0.725    -8.38
100.    0.46980   0.720    -8.48
100.    0.50149   0.717    -8.53
100.    0.56486   0.713    -8.61
100.    0.65993   0.708    -8.72
100.    0.72330   0.706    -8.79
100.    0.81837   0.703    -8.87
100.    0.91343   0.700    -8.94
100.    1.00850   0.697    -9.00
100.    1.13525   0.695    -9.07
100.    1.26200   0.693    -9.13
100.    1.42044   0.690    -9.19
100.    1.61057   0.688    -9.26
100.    1.80070   0.686    -9.33
100.    2.02252   0.683    -9.40
100.    2.24433   0.682    -9.46
100.    2.52953   0.680    -9.53
100.    2.84641   0.678    -9.60
100.    3.16329   0.676    -9.67
100.    3.57523   0.675    -9.74
100.    3.98718   0.673    -9.80
100.    4.49419   0.672    -9.88
100.    5.01954   0.670    -9.95
100.    5.65245   0.669   -10.00
100.    6.31790   0.668   -10.04
100.    7.11010   0.666   -10.09
100.    7.96568   0.665   -10.13
