M           age     RvRJ     logL
20.    0.01004   0.818    -8.03
20.    0.01148   0.806    -8.09
20.    0.01317   0.795    -8.15
20.    0.01516   0.783    -8.22
20.    0.01628   0.778    -8.26
20.    0.01887   0.767    -8.33
20.    0.02035   0.762    -8.37
20.    0.02376   0.751    -8.45
20.    0.02574   0.746    -8.49
20.    0.03035   0.735    -8.57
20.    0.03305   0.730    -8.62
20.    0.03607   0.725    -8.66
20.    0.04323   0.716    -8.76
20.    0.04749   0.711    -8.81
20.    0.05232   0.706    -8.86
20.    0.05779   0.701    -8.91
20.    0.06401   0.697    -8.97
20.    0.07107   0.692    -9.02
20.    0.08830   0.683    -9.13
20.    0.09885   0.678    -9.19
20.    0.11102   0.674    -9.25
20.    0.12513   0.670    -9.32
20.    0.14158   0.666    -9.38
20.    0.16084   0.662    -9.45
20.    0.18352   0.658    -9.52
20.    0.21037   0.654    -9.59
20.    0.24206   0.650    -9.67
20.    0.27375   0.647    -9.74
20.    0.30544   0.644    -9.80
20.    0.33713   0.642    -9.85
20.    0.36881   0.640    -9.90
20.    0.40050   0.638    -9.95
20.    0.43219   0.636    -9.99
20.    0.46388   0.635   -10.03
20.    0.52725   0.632   -10.11
20.    0.59063   0.630   -10.17
20.    0.65401   0.628   -10.23
20.    0.71738   0.627   -10.28
20.    0.81245   0.625   -10.35
20.    0.90751   0.623   -10.42
20.    1.00258   0.621   -10.47
20.    1.12933   0.620   -10.54
20.    1.28777   0.618   -10.62
20.    1.41452   0.617   -10.67
20.    1.60465   0.615   -10.74
20.    1.79478   0.614   -10.76
20.    2.01659   0.612   -10.79
20.    2.27010   0.611   -10.81
20.    2.52360   0.609   -10.84
20.    2.84048   0.607   -10.86
20.    3.18905   0.606   -10.89
20.    3.56931   0.604   -10.92
20.    3.98126   0.602   -10.95
20.    4.48827   0.600   -10.98
20.    5.02696   0.598   -11.01
20.    5.62904   0.596   -11.04
20.    6.32617   0.594   -11.08
20.    7.08669   0.592   -11.12
20.    7.97395   0.589   -11.15
20.    8.92460   0.587   -11.19
20.   10.00200   0.585   -11.23
