M           age     RvRJ     logL
318.    0.01044   0.924    -5.62
318.    0.01169   0.910    -5.66
318.    0.01306   0.896    -5.69
318.    0.01457   0.882    -5.72
318.    0.01623   0.868    -5.76
318.    0.01808   0.854    -5.80
318.    0.02012   0.840    -5.84
318.    0.02240   0.827    -5.88
318.    0.02638   0.807    -5.96
318.    0.02949   0.794    -6.00
318.    0.03303   0.782    -6.05
318.    0.03706   0.770    -6.11
318.    0.04176   0.758    -6.17
318.    0.04725   0.747    -6.23
318.    0.05031   0.741    -6.26
318.    0.05718   0.730    -6.32
318.    0.06539   0.719    -6.41
318.    0.07545   0.709    -6.50
318.    0.08142   0.704    -6.55
318.    0.09602   0.694    -6.66
318.    0.10496   0.689    -6.71
318.    0.11508   0.684    -6.75
318.    0.12609   0.679    -6.77
318.    0.15064   0.669    -6.83
318.    0.16441   0.664    -6.87
318.    0.17938   0.660    -6.90
318.    0.21362   0.650    -6.98
318.    0.23333   0.646    -7.02
318.    0.25497   0.641    -7.05
318.    0.30441   0.632    -7.12
318.    0.33267   0.628    -7.16
318.    0.36380   0.623    -7.20
318.    0.42717   0.616    -7.28
318.    0.45886   0.612    -7.32
318.    0.52224   0.607    -7.37
318.    0.58561   0.602    -7.42
318.    0.64899   0.598    -7.45
318.    0.71237   0.594    -7.49
318.    0.80743   0.588    -7.54
318.    0.90250   0.584    -7.60
318.    1.02925   0.578    -7.65
318.    1.12431   0.575    -7.68
318.    1.28275   0.569    -7.74
318.    1.44119   0.565    -7.79
318.    1.59963   0.561    -7.84
318.    1.78976   0.556    -7.89
318.    2.01158   0.552    -7.94
318.    2.26508   0.547    -8.00
318.    2.51859   0.543    -8.05
318.    2.83547   0.539    -8.13
318.    3.18404   0.535    -8.25
318.    3.56429   0.531    -8.35
318.    4.00793   0.529    -8.42
318.    4.48325   0.526    -8.47
318.    5.02195   0.524    -8.53
318.    5.62402   0.521    -8.60
318.    6.32116   0.519    -8.68
318.    7.08167   0.517    -8.76
318.    7.96894   0.515    -8.83
318.    8.91958   0.513    -8.90
318.   10.02870   0.512    -8.97
