M           age     RvRJ     logL
100.    0.01010   1.360    -6.71
100.    0.01169   1.334    -6.77
100.    0.01290   1.317    -6.81
100.    0.01426   1.301    -6.86
100.    0.01661   1.277    -6.92
100.    0.01840   1.261    -6.97
100.    0.02041   1.246    -7.01
100.    0.02267   1.231    -7.06
100.    0.02521   1.216    -7.11
100.    0.02968   1.194    -7.18
100.    0.03319   1.180    -7.24
100.    0.03723   1.166    -7.29
100.    0.04189   1.152    -7.35
100.    0.04732   1.138    -7.42
100.    0.05038   1.132    -7.45
100.    0.05731   1.118    -7.52
100.    0.06557   1.105    -7.60
100.    0.07553   1.092    -7.67
100.    0.08129   1.085    -7.72
100.    0.09475   1.072    -7.80
100.    0.10266   1.065    -7.85
100.    0.12147   1.053    -7.95
100.    0.13273   1.046    -8.00
100.    0.14550   1.040    -8.06
100.    0.16010   1.034    -8.11
100.    0.19621   1.022    -8.24
100.    0.21874   1.016    -8.30
100.    0.24515   1.011    -8.38
100.    0.27636   1.005    -8.45
100.    0.30805   1.000    -8.52
100.    0.33974   0.996    -8.58
100.    0.37142   0.992    -8.64
100.    0.40311   0.989    -8.69
100.    0.46649   0.984    -8.78
100.    0.52986   0.980    -8.87
100.    0.59324   0.976    -8.94
100.    0.65662   0.973    -9.01
100.    0.71999   0.971    -9.07
100.    0.81506   0.968    -9.15
100.    0.91012   0.965    -9.22
100.    1.00519   0.963    -9.28
100.    1.13194   0.960    -9.36
100.    1.29038   0.957    -9.45
100.    1.41713   0.956    -9.51
100.    1.60726   0.953    -9.59
100.    1.79739   0.952    -9.66
100.    2.01920   0.950    -9.74
100.    2.24102   0.948    -9.80
100.    2.52621   0.946    -9.88
100.    2.84309   0.945    -9.96
100.    3.19166   0.943   -10.03
100.    3.57192   0.942   -10.08
100.    3.98387   0.941   -10.11
100.    4.49087   0.939   -10.14
100.    5.02957   0.937   -10.17
100.    5.63165   0.936   -10.20
100.    6.32878   0.934   -10.23
100.    7.08930   0.932   -10.26
100.    7.94488   0.930   -10.30
100.    8.92721   0.928   -10.33
100.   10.00460   0.927   -10.37
