M           age     RvRJ     logL
318.    0.01045   1.304    -5.91
318.    0.01128   1.298    -5.94
318.    0.01320   1.285    -6.02
318.    0.01430   1.279    -6.05
318.    0.01678   1.267    -6.12
318.    0.01817   1.261    -6.15
318.    0.02130   1.249    -6.21
318.    0.02307   1.243    -6.25
318.    0.02709   1.231    -6.32
318.    0.02938   1.226    -6.36
318.    0.03189   1.220    -6.40
318.    0.03770   1.208    -6.48
318.    0.04103   1.202    -6.51
318.    0.04860   1.190    -6.58
318.    0.05294   1.184    -6.62
318.    0.05772   1.178    -6.66
318.    0.06888   1.166    -6.76
318.    0.07546   1.160    -6.80
318.    0.08286   1.154    -6.86
318.    0.09123   1.148    -6.91
318.    0.10074   1.142    -6.97
318.    0.12402   1.130    -7.06
318.    0.13774   1.125    -7.10
318.    0.15297   1.119    -7.15
318.    0.16998   1.113    -7.20
318.    0.18903   1.107    -7.25
318.    0.21049   1.101    -7.30
318.    0.23479   1.095    -7.35
318.    0.26244   1.089    -7.41
318.    0.29407   1.084    -7.47
318.    0.32576   1.078    -7.52
318.    0.35745   1.074    -7.57
318.    0.42083   1.066    -7.66
318.    0.45251   1.063    -7.71
318.    0.51589   1.057    -7.78
318.    0.57927   1.052    -7.86
318.    0.64264   1.048    -7.92
318.    0.73771   1.043    -8.01
318.    0.80108   1.040    -8.06
318.    0.89615   1.036    -8.13
318.    1.02290   1.032    -8.22
318.    1.14965   1.028    -8.30
318.    1.27640   1.025    -8.36
318.    1.43484   1.022    -8.44
318.    1.59329   1.019    -8.51
318.    1.78341   1.017    -8.59
318.    2.00523   1.014    -8.67
318.    2.25874   1.012    -8.75
318.    2.51224   1.009    -8.82
318.    2.82912   1.007    -8.90
318.    3.17769   1.005    -8.98
318.    3.55795   1.003    -9.06
318.    4.00158   1.001    -9.13
318.    4.47690   1.000    -9.21
318.    5.01560   0.998    -9.28
318.    5.64936   0.996    -9.36
318.    6.31481   0.995    -9.43
318.    7.10701   0.993    -9.51
318.    7.96259   0.992    -9.58
318.    8.91323   0.991    -9.65
318.   10.02230   0.990    -9.73
