M           age     RvRJ     logL
636.    0.01043   1.321    -5.29
636.    0.01131   1.314    -5.34
636.    0.01337   1.300    -5.43
636.    0.01459   1.293    -5.47
636.    0.01595   1.286    -5.52
636.    0.01918   1.272    -5.62
636.    0.02111   1.266    -5.67
636.    0.02329   1.259    -5.72
636.    0.02576   1.252    -5.77
636.    0.02852   1.246    -5.82
636.    0.03163   1.239    -5.87
636.    0.03907   1.226    -5.97
636.    0.04354   1.220    -6.02
636.    0.04863   1.214    -6.07
636.    0.05439   1.207    -6.11
636.    0.06072   1.200    -6.15
636.    0.06770   1.194    -6.19
636.    0.07544   1.187    -6.24
636.    0.08406   1.181    -6.29
636.    0.09373   1.174    -6.34
636.    0.10465   1.168    -6.39
636.    0.11708   1.161    -6.45
636.    0.13135   1.155    -6.51
636.    0.14786   1.149    -6.57
636.    0.16711   1.142    -6.64
636.    0.18971   1.136    -6.71
636.    0.21647   1.130    -6.79
636.    0.24815   1.124    -6.86
636.    0.27984   1.118    -6.93
636.    0.31153   1.114    -7.00
636.    0.34322   1.110    -7.05
636.    0.37491   1.106    -7.08
636.    0.40659   1.103    -7.11
636.    0.46997   1.096    -7.17
636.    0.50166   1.094    -7.20
636.    0.56503   1.089    -7.25
636.    0.66010   1.082    -7.32
636.    0.72348   1.078    -7.37
636.    0.81854   1.073    -7.43
636.    0.91360   1.068    -7.49
636.    1.00867   1.064    -7.55
636.    1.13542   1.060    -7.61
636.    1.26217   1.056    -7.67
636.    1.42061   1.052    -7.75
636.    1.61074   1.048    -7.82
636.    1.80087   1.044    -7.89
636.    2.02269   1.041    -7.97
636.    2.24450   1.038    -8.03
636.    2.52970   1.034    -8.11
636.    2.84658   1.032    -8.19
636.    3.16346   1.029    -8.26
636.    3.57540   1.026    -8.34
636.    3.98735   1.024    -8.41
636.    4.49436   1.022    -8.50
636.    5.03306   1.019    -8.57
636.    5.63513   1.018    -8.65
636.    6.33227   1.016    -8.73
636.    7.09278   1.014    -8.80
636.    7.94836   1.012    -8.88
636.    8.93069   1.010    -8.95
636.   10.00810   1.009    -9.03
