M           age     RvRJ     logL
20.    0.01053   1.054    -8.08
20.    0.01179   1.041    -8.13
20.    0.01322   1.029    -8.18
20.    0.01485   1.017    -8.24
20.    0.01671   1.005    -8.29
20.    0.01885   0.994    -8.35
20.    0.02005   0.988    -8.38
20.    0.02271   0.977    -8.44
20.    0.02581   0.966    -8.50
20.    0.02944   0.955    -8.57
20.    0.03372   0.944    -8.63
20.    0.03614   0.939    -8.67
20.    0.04166   0.928    -8.74
20.    0.04482   0.923    -8.78
20.    0.05209   0.913    -8.86
20.    0.05628   0.908    -8.90
20.    0.06603   0.898    -8.98
20.    0.07170   0.893    -9.03
20.    0.08507   0.883    -9.12
20.    0.09295   0.879    -9.16
20.    0.10179   0.874    -9.21
20.    0.12298   0.865    -9.32
20.    0.13571   0.860    -9.37
20.    0.15020   0.856    -9.43
20.    0.16675   0.851    -9.48
20.    0.18574   0.847    -9.54
20.    0.20765   0.842    -9.60
20.    0.23303   0.838    -9.67
20.    0.26260   0.834    -9.73
20.    0.29428   0.830    -9.80
20.    0.32597   0.827    -9.86
20.    0.35766   0.824    -9.91
20.    0.42104   0.819   -10.00
20.    0.45272   0.817   -10.05
20.    0.51610   0.813   -10.12
20.    0.57948   0.810   -10.19
20.    0.64285   0.807   -10.25
20.    0.73792   0.804   -10.33
20.    0.80129   0.802   -10.38
20.    0.89636   0.799   -10.45
20.    1.02311   0.797   -10.53
20.    1.14986   0.794   -10.60
20.    1.27661   0.792   -10.66
20.    1.43505   0.790   -10.73
20.    1.59349   0.788   -10.76
20.    1.78362   0.786   -10.79
20.    2.00544   0.784   -10.81
20.    2.25894   0.782   -10.83
20.    2.51245   0.779   -10.86
20.    2.82933   0.777   -10.88
20.    3.17790   0.774   -10.91
20.    3.55816   0.771   -10.94
20.    4.00179   0.768   -10.96
20.    4.47711   0.765   -10.99
20.    5.01581   0.762   -11.02
20.    5.64957   0.758   -11.06
20.    6.31502   0.755   -11.09
20.    7.10722   0.751   -11.13
20.    7.96280   0.748   -11.17
20.    8.91344   0.744   -11.21
20.   10.02250   0.740   -11.25
