M           age     RvRJ     logL
636.    0.01040   1.260    -5.29
636.    0.01130   1.253    -5.33
636.    0.01344   1.239    -5.43
636.    0.01471   1.233    -5.48
636.    0.01615   1.226    -5.52
636.    0.01958   1.213    -5.63
636.    0.02164   1.206    -5.68
636.    0.02398   1.200    -5.73
636.    0.02665   1.193    -5.79
636.    0.02967   1.187    -5.84
636.    0.03308   1.181    -5.89
636.    0.03694   1.174    -5.94
636.    0.04132   1.168    -5.99
636.    0.04632   1.162    -6.05
636.    0.05205   1.156    -6.11
636.    0.05864   1.150    -6.15
636.    0.06594   1.143    -6.20
636.    0.07405   1.137    -6.24
636.    0.08314   1.131    -6.29
636.    0.09338   1.124    -6.34
636.    0.10500   1.118    -6.40
636.    0.11829   1.112    -6.46
636.    0.13365   1.106    -6.53
636.    0.15155   1.099    -6.59
636.    0.17253   1.093    -6.66
636.    0.19726   1.087    -6.73
636.    0.22668   1.081    -6.81
636.    0.25837   1.076    -6.88
636.    0.29006   1.071    -6.95
636.    0.32174   1.067    -7.01
636.    0.35343   1.063    -7.07
636.    0.38512   1.060    -7.10
636.    0.41681   1.057    -7.13
636.    0.44850   1.054    -7.16
636.    0.51187   1.049    -7.21
636.    0.57525   1.044    -7.27
636.    0.63862   1.040    -7.31
636.    0.73369   1.034    -7.38
636.    0.79707   1.031    -7.42
636.    0.89213   1.027    -7.48
636.    1.01888   1.022    -7.56
636.    1.14563   1.018    -7.62
636.    1.27239   1.014    -7.68
636.    1.43083   1.010    -7.75
636.    1.58927   1.007    -7.82
636.    1.77940   1.004    -7.89
636.    2.00121   1.001    -7.96
636.    2.25472   0.997    -8.04
636.    2.53991   0.994    -8.11
636.    2.82510   0.992    -8.19
636.    3.17367   0.989    -8.26
636.    3.55393   0.987    -8.34
636.    3.99756   0.985    -8.42
636.    4.47288   0.983    -8.49
636.    5.04327   0.981    -8.58
636.    5.64534   0.979    -8.65
636.    6.31079   0.977    -8.73
636.    7.10299   0.975    -8.81
636.    7.95857   0.974    -8.88
636.    8.94090   0.972    -8.96
636.   10.01830   0.971    -9.03
