M           age     RvRJ     logL
318.    0.01048   0.999    -5.75
318.    0.01124   0.993    -5.78
318.    0.01294   0.981    -5.85
318.    0.01499   0.969    -5.93
318.    0.01617   0.963    -5.97
318.    0.01889   0.952    -6.04
318.    0.02044   0.946    -6.08
318.    0.02402   0.935    -6.15
318.    0.02608   0.929    -6.19
318.    0.02833   0.924    -6.23
318.    0.03353   0.913    -6.31
318.    0.03654   0.908    -6.34
318.    0.04330   0.898    -6.40
318.    0.04710   0.893    -6.44
318.    0.05121   0.888    -6.47
318.    0.06048   0.878    -6.53
318.    0.06571   0.873    -6.57
318.    0.07139   0.868    -6.60
318.    0.08446   0.858    -6.69
318.    0.09209   0.853    -6.73
318.    0.10065   0.849    -6.78
318.    0.12128   0.839    -6.89
318.    0.13367   0.835    -6.94
318.    0.14765   0.830    -6.99
318.    0.16343   0.826    -7.04
318.    0.18132   0.821    -7.09
318.    0.20171   0.817    -7.15
318.    0.22521   0.812    -7.22
318.    0.25260   0.808    -7.29
318.    0.28428   0.803    -7.34
318.    0.34766   0.796    -7.41
318.    0.37935   0.792    -7.44
318.    0.41104   0.789    -7.47
318.    0.47441   0.784    -7.53
318.    0.50610   0.781    -7.56
318.    0.56948   0.777    -7.62
318.    0.63285   0.773    -7.67
318.    0.72792   0.768    -7.74
318.    0.82298   0.763    -7.81
318.    0.91804   0.760    -7.87
318.    1.01311   0.756    -7.93
318.    1.13986   0.753    -8.00
318.    1.26661   0.749    -8.08
318.    1.42505   0.746    -8.16
318.    1.61518   0.743    -8.25
318.    1.80531   0.740    -8.33
318.    1.99544   0.738    -8.39
318.    2.24894   0.735    -8.47
318.    2.53414   0.733    -8.54
318.    2.81933   0.731    -8.60
318.    3.16790   0.728    -8.67
318.    3.54816   0.726    -8.74
318.    3.99179   0.724    -8.81
318.    4.46711   0.722    -8.88
318.    5.03750   0.721    -8.95
318.    5.63957   0.719    -9.02
318.    6.33671   0.717    -9.10
318.    7.09722   0.716    -9.18
318.    7.95280   0.714    -9.27
318.    8.93513   0.713    -9.36
