M           age     RvRJ     logL
100.    0.01068   0.829    -6.76
100.    0.01160   0.822    -6.78
100.    0.01359   0.808    -6.82
100.    0.01467   0.801    -6.84
100.    0.01704   0.788    -6.88
100.    0.01833   0.781    -6.91
100.    0.02115   0.769    -6.95
100.    0.02271   0.763    -6.98
100.    0.02622   0.751    -7.05
100.    0.02819   0.745    -7.08
100.    0.03264   0.734    -7.13
100.    0.03763   0.723    -7.16
100.    0.04031   0.718    -7.18
100.    0.04607   0.707    -7.22
100.    0.05241   0.697    -7.25
100.    0.05943   0.687    -7.29
100.    0.06324   0.682    -7.31
100.    0.07150   0.673    -7.36
100.    0.08076   0.663    -7.40
100.    0.09127   0.654    -7.46
100.    0.10323   0.646    -7.50
100.    0.11669   0.637    -7.54
100.    0.13159   0.629    -7.58
100.    0.14819   0.620    -7.62
100.    0.16680   0.612    -7.67
100.    0.18777   0.604    -7.72
100.    0.21132   0.597    -7.76
100.    0.22411   0.593    -7.78
100.    0.25177   0.586    -7.82
100.    0.28235   0.579    -7.86
100.    0.33437   0.569    -7.92
100.    0.37393   0.563    -7.96
100.    0.41861   0.556    -8.01
100.    0.46994   0.550    -8.07
100.    0.52947   0.543    -8.13
100.    0.59284   0.537    -8.19
100.    0.65622   0.532    -8.25
100.    0.71960   0.527    -8.30
100.    0.81466   0.522    -8.36
100.    0.90972   0.517    -8.42
100.    1.00479   0.512    -8.47
100.    1.13154   0.507    -8.53
100.    1.28998   0.501    -8.63
100.    1.41673   0.497    -8.73
100.    1.60686   0.492    -8.86
100.    1.79699   0.489    -8.94
100.    2.01881   0.486    -9.01
100.    2.24062   0.484    -9.07
100.    2.52582   0.481    -9.13
100.    2.84270   0.479    -9.19
100.    3.19127   0.477    -9.27
100.    3.57152   0.474    -9.34
100.    3.98347   0.472    -9.42
100.    4.49048   0.470    -9.50
100.    5.02918   0.469    -9.57
100.    5.63125   0.467    -9.64
100.    6.32839   0.465    -9.70
100.    7.08890   0.464    -9.74
100.    7.94448   0.462    -9.78
100.    8.92681   0.461    -9.82
100.   10.00420   0.459    -9.87
